Term,Freq,Total,Category,logprob,loglift,relevance,Topic
people,7747.107923961344,57777.880210012874,Topic6,-4.6925,0.6912,-3.07739,0
dialogue,4014.941417570693,6873.95001235215,Topic6,-5.3498,2.1628,-3.0960199999999993,0
peace,6192.446646573369,29216.140238212247,Topic6,-4.9165,1.1491,-3.0968199999999997,0
refugee,20329.718553922547,22646.736482705935,Topic7,-3.6941,2.6261,-1.7980399999999999,7
humanitarian,17351.298059028388,20457.580415670753,Topic7,-3.8526,2.5694,-1.9259999999999997,7
assistance,17664.669667821192,53998.874205650485,Topic7,-3.8347,1.6167,-2.19928,7
palestinian,10820.426159373481,10821.394547401289,Topic7,-4.3248,2.734,-2.2071599999999996,7
occupy,8646.348002954686,8732.300654891826,Topic7,-4.5491,2.7242,-2.36711,7
palestine,7425.37393690983,7880.480104946266,Topic7,-4.7013,2.6746,-2.48853,7
afghanistan,6060.641281052244,6212.173195435041,Topic7,-4.9044,2.7094,-2.62026,7
relief,6215.671926904231,8243.04842843227,Topic7,-4.8792,2.4518,-2.6799,7
displace,5490.668326586634,5739.6129053201,Topic7,-5.0032,2.6897,-2.6953299999999993,7
situation,8512.818429988089,26556.041061142452,Topic7,-4.5647,1.5964,-2.71637,7
east,6051.238320793365,8910.26019621719,Topic7,-4.906,2.3471,-2.7300699999999996,7
arab,5331.489886921411,5947.990289696051,Topic7,-5.0326,2.6246,-2.7354399999999996,7
emergency,5776.662821258633,8540.351266859288,Topic7,-4.9524,2.3431,-2.7637499999999995,7
israel,5067.327649112181,5791.215180088966,Topic7,-5.0834,2.6005,-2.7782299999999998,7
reconstruction,4781.265014288515,5448.645316459693,Topic7,-5.1415,2.6034,-2.8180299999999994,7
commissioner,5935.773120772188,11223.716586481,Topic7,-4.9252,2.097,-2.8185399999999996,7
government,9414.1626520814,58998.63257142474,Topic7,-4.464,0.8988,-2.85516,7
israeli,4186.968309705032,4187.936700567947,Topic7,-5.2743,2.7338,-2.8718699999999995,7
civilian,4455.073540201258,5451.44555934635,Topic7,-5.2122,2.5322,-2.8888799999999994,7
effort,8772.673753406445,54593.99379765133,Topic7,-4.5346,0.9058,-2.90248,7
crime,15488.407843739393,16691.46294471309,Topic8,-3.8579,2.7675,-1.8702799999999995,9
drug,11517.809619532134,13148.440319300209,Topic8,-4.1541,2.7099,-2.094899999999999,9
traffic,10304.303981874587,11738.450331861297,Topic8,-4.2654,2.712,-2.1721799999999996,9
criminal,8654.528039000887,8910.974863493622,Topic8,-4.4399,2.8131,-2.2639999999999993,9
prevention,9463.816017517851,14796.55532240987,Topic8,-4.3505,2.3954,-2.32673,9
cooperation,12926.845690060934,42715.234266083,Topic8,-4.0387,1.6471,-2.33296,9
illicit,6414.407179456145,8058.501080822494,Topic8,-4.7394,2.6141,-2.5333499999999995,9
justice,7101.133447732994,12967.371310797791,Topic8,-4.6377,2.2401,-2.5743599999999995,9
terrorism,5247.798196378262,5343.643973836463,Topic8,-4.9402,2.8242,-2.61088,9
prevent,6175.868646277709,12486.51841456546,Topic8,-4.7773,2.1383,-2.70262,9
combat,5613.632138870324,10412.360575442444,Topic8,-4.8728,2.2245,-2.7436099999999994,9
control,5805.650814039645,13252.05546037594,Topic8,-4.8391,2.017,-2.7822699999999996,9
malaria,4015.0076114885005,4015.975681247322,Topic8,-5.2079,2.8421,-2.7929,9
law,7718.952061040239,41014.543913974136,Topic8,-4.5543,1.1721,-2.8363799999999992,9
national,7960.065655459645,46544.41282438301,Topic8,-4.5235,1.0763,-2.84356,9
encourage,6817.807705870753,30471.088153016255,Topic8,-4.6784,1.3451,-2.8713499999999996,9
strengthen,6854.923022096386,31556.08887887634,Topic8,-4.673,1.3155,-2.8764499999999997,9
corruption,3572.947005392215,3660.071540532401,Topic8,-5.3246,2.8182,-2.88176,9
abuse,3514.033512224919,4623.091410574985,Topic8,-5.3412,2.568,-2.9684399999999997,9
office,5519.270047943126,21603.718877414645,Topic8,-4.8897,1.4777,-2.9794799999999997,9
woman,27000.549181073042,28740.150425870997,Topic9,-3.3021,2.7799,-1.4774999999999998,1
child,23998.136697787868,27620.618305780492,Topic9,-3.42,2.7017,-1.5834899999999994,1
discrimination,10107.338929703188,14378.08532754193,Topic9,-4.2847,2.4899,-2.2523199999999997,1
education,9498.865041348223,13807.898492090964,Topic9,-4.3468,2.4683,-2.3022699999999996,1
violence,7224.40105904715,9826.532016185742,Topic9,-4.6205,2.5347,-2.4739399999999994,1
girl,6215.066998719083,6364.804878107144,Topic9,-4.771,2.8185,-2.4941499999999994,1
person,9621.147654445735,27920.413816355707,Topic9,-4.334,1.7769,-2.5007299999999995,1
youth,6077.088961105759,6217.313497042262,Topic9,-4.7934,2.8195,-2.50953,1
health,7704.681185873367,16266.17590494011,Topic9,-4.5561,2.0951,-2.5607399999999996,1
racial,6269.7048122122505,8909.765531998586,Topic9,-4.7622,2.4909,-2.58627,1
form,7235.638526614995,17258.622343347397,Topic9,-4.6189,1.973,-2.64133,1
social,10033.896394825211,58846.40530377327,Topic9,-4.292,1.0734,-2.6823799999999993,1
gender,5127.07988877531,6360.332493316542,Topic9,-4.9634,2.6268,-2.68634,1
family,4930.6356603879085,5586.833375718025,Topic9,-5.0025,2.7174,-2.68653,1
disability,4687.946875381789,4946.954318895564,Topic9,-5.053,2.7886,-2.7005199999999996,1
intolerance,4029.1711771766104,4030.1432392458855,Topic9,-5.2044,2.8421,-2.7904499999999994,1
age,4078.7812350866216,4295.1337970264385,Topic9,-5.1922,2.7906,-2.7973599999999994,1
racism,4193.765779813528,5042.420995177409,Topic9,-5.1644,2.658,-2.8176799999999993,1
world,7780.407697774648,42969.435496946906,Topic9,-4.5463,1.1335,-2.8423599999999993,1
action,7888.094857342742,47017.03940949238,Topic9,-4.5326,1.0572,-2.8556600000000003,1
dollar,15131.119245984344,15137.687433270452,Topic10,-3.8669,2.8562,-1.8499699999999994,3
mission,14385.847540079041,25145.171459541834,Topic10,-3.9174,2.2982,-2.05272,3
budget,11546.775345468392,14116.608563121616,Topic10,-4.1372,2.6557,-2.0993299999999997,3
amount,10098.63157775686,10520.89550648933,Topic10,-4.2712,2.8157,-2.14513,3
june,12042.377170729033,22504.51663759728,Topic10,-4.0952,2.2314,-2.1972199999999997,3
period,10710.702101655448,16597.397988831628,Topic10,-4.2124,2.4186,-2.2230999999999996,3
staff,10606.819134651383,16480.899161372276,Topic10,-4.2221,2.4159,-2.2306999999999997,3
assessment,9457.744597836047,13262.096654385065,Topic10,-4.3368,2.5186,-2.2801799999999997,3
estimate,6965.839778533951,7167.512501291198,Topic10,-4.6426,2.8281,-2.4013899999999997,3
finance,8910.862331273762,17751.76165798618,Topic10,-4.3964,2.1674,-2.4272599999999995,3
peacekeeping,6849.827040741305,8144.845369060213,Topic10,-4.6594,2.6835,-2.4565299999999994,3
operation,8144.0998504604695,15384.407511412071,Topic10,-4.4863,2.2206,-2.4742299999999995,3
income,6438.179258684943,7692.72755238316,Topic10,-4.7214,2.6786,-2.5014,3
administrative,8275.711567777511,17773.638975072285,Topic10,-4.4703,2.0923,-2.5015199999999993,3
paragraph,9486.435782488661,33020.38675188367,Topic10,-4.3338,1.6094,-2.55084,3
advisory,7859.070441988415,18308.97240854413,Topic10,-4.522,2.0109,-2.56213,3
budgetary,6771.652318088764,11637.404711474184,Topic10,-4.6709,2.3152,-2.5750699999999993,3
decide,9040.747189495749,32857.14965842329,Topic10,-4.3819,1.5662,-2.5974699999999995,3
financial,9213.148207660588,34994.3908003171,Topic10,-4.363,1.5221,-2.59747,3
contribution,8274.66696619544,26224.665813276024,Topic10,-4.4704,1.7031,-2.6183499999999995,3
africa,27750.425091622892,33863.65331313074,Topic11,-3.2141,2.7038,-1.4387299999999998,10
south,21256.48321176566,22839.974311570695,Topic11,-3.4807,2.8311,-1.58716,10
african,13042.68870680636,17474.511593806277,Topic11,-3.9692,2.6104,-1.9953199999999998,10
apartheid,10801.267587497223,10802.233617298843,Topic11,-4.1577,2.9028,-2.0395499999999998,10
people,16710.51618932169,57777.880210012874,Topic11,-3.7213,1.6623,-2.1062199999999995,10
namibia,8462.243041128802,8463.20907134843,Topic11,-4.4018,2.9028,-2.210419999999999,10
independence,9168.455579268215,18945.67499057831,Topic11,-4.3216,2.1771,-2.37199,10
colonial,7760.665638495437,12802.08297627292,Topic11,-4.4883,2.4024,-2.4210899999999995,10
régime,4824.146210308647,4825.112240054289,Topic11,-4.9637,2.9027,-2.60378,10
southern,4745.253091612841,5233.739984153628,Topic11,-4.9802,2.8049,-2.6446699999999996,10
unity,4796.021908293565,5939.200460468965,Topic11,-4.9696,2.6891,-2.6719899999999996,10
declaration,8580.389481350709,43464.05978687197,Topic11,-4.3879,1.2805,-2.68738,10
special,9299.253470093057,59397.62495620727,Topic11,-4.3074,1.0486,-2.7006,10
west,4391.527561237318,5133.463031159069,Topic11,-5.0577,2.7468,-2.7163499999999994,10
racist,3893.4868167982104,4038.4362268277655,Topic11,-5.1781,2.8664,-2.7647499999999994,10
liberation,3663.415165329601,4368.259113052625,Topic11,-5.239,2.7269,-2.8492299999999995,10
organization,9340.79156360209,101018.1090027378,Topic11,-4.303,0.522,-2.8554999999999997,10
council,7934.359753543625,61844.47773709195,Topic11,-4.4662,0.8495,-2.8714899999999997,10
struggle,3309.1899817509434,3412.339650317189,Topic11,-5.3407,2.8722,-2.8768299999999996,10
sport,3169.329847985068,3928.1735166761127,Topic11,-5.3839,2.6883,-2.9622399999999995,10
convention,34455.63624780004,50799.376418642016,Topic12,-2.8618,2.6506,-1.2080799999999998,13
law,25229.086861837186,41014.543913974136,Topic12,-3.1735,2.5529,-1.4555799999999999,13
party,15623.187952993963,31908.96603066767,Topic12,-3.6527,2.3247,-1.8594799999999996,13
sea,8565.013629036288,8663.299420556925,Topic12,-4.2538,3.0274,-2.0694399999999997,13
marine,7166.310667410968,7624.772846772566,Topic12,-4.4321,2.9768,-2.20943,13
ocean,6582.512502155258,7947.347671861827,Topic12,-4.5171,2.8504,-2.30685,13
torture,4687.441887992524,4912.987549647868,Topic12,-4.8566,2.9918,-2.50208,13
protocol,5769.175525590803,10022.958043237439,Topic12,-4.6489,2.4865,-2.50828,13
organization,10828.197724142452,101018.1090027378,Topic12,-4.0193,0.8057,-2.5718,13
maritime,4005.822825273291,4108.242054873149,Topic12,-5.0137,3.0136,-2.6055099999999998,13
instrument,4844.494714571745,11614.715117117485,Topic12,-4.8236,2.1644,-2.7272,13
fish,3288.830705292425,3289.7946488265015,Topic12,-5.2109,3.0385,-2.7360799999999994,13
punishment,3567.3946188220843,4631.983309687313,Topic12,-5.1296,2.7777,-2.7574099999999997,13
diplomatic,2975.234186599889,3050.7121999946125,Topic12,-5.3112,3.0138,-2.8137,13
commission,6484.039609452319,45645.33955678494,Topic12,-4.5321,1.0873,-2.8462799999999997,13
work,6729.086533097984,57065.97669228925,Topic12,-4.495,0.901,-2.8762,13
fishery,2669.8683008801722,2736.3933882260385,Topic12,-5.4194,3.0142,-2.8893199999999997,13
cruel,2620.22011237794,2621.1840505928885,Topic12,-5.4382,3.0384,-2.8952199999999997,13
