Resolution,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A/RES/45/105,0.034811478,0.4059507,6.751805e-05,0.013180984,9.083979e-05,4.4490946e-05,0.00021514452,0.00819159,0.015266665,0.003986779,0.09787223,0.3774533,0.009948652,0.032919616
A/RES/53/208,0.0018340711,0.0044798795,0.005495496,0.12136243,0.007714198,3.233864e-05,0.118747815,5.9089525e-05,0.55507594,4.883926e-05,5.2574487e-05,0.16730693,0.01773773,5.267913e-05
A/RES/60/277,0.0002480802,0.00015558353,0.00015152093,0.996939,0.00020384372,9.984499e-05,0.0004564572,0.00018243265,0.00020754238,0.0001507896,0.00016231657,0.00060976885,0.0002701719,0.00016264436
A/RES/76/37,0.009482379,0.0002512843,0.51292396,0.0002650359,0.00032924747,0.00016126003,0.0007452008,0.00029466904,0.013636313,0.00024354155,0.00026215822,0.2653038,0.19583848,0.00026268867
A/RES/49/3,0.04082832,0.16441908,0.0007754412,0.0008398396,0.03191504,0.000510977,0.0023754132,0.00093369343,0.0010624032,0.0007717,0.00083069067,0.75251967,0.0013853905,0.00083236775
A/RES/126(II),0.00011089324,0.034348194,6.770416e-05,7.332421e-05,0.008539406,4.4613753e-05,0.690661,8.1517675e-05,9.2736125e-05,0.023522494,7.252798e-05,0.0076545463,0.00012077757,0.23461023
A/RES/34/233[IX],0.00021353188,0.00013391073,0.00013041368,0.22022204,0.09415826,8.59363e-05,0.3278972,0.00015702164,0.12721245,0.00012978447,0.00013970655,0.22501881,0.0043609566,0.0001399879
A/RES/61/72,0.0004759742,0.00029844657,0.5603935,0.00031478502,0.00039103327,0.00019152624,0.075289845,0.00034996797,0.00039818115,0.31870475,0.00031136163,0.0012580971,0.029913938,0.011708556
A/RES/70/293,0.00015928813,9.986486e-05,0.01231604,0.000105330284,0.00013085012,6.408704e-05,0.00029510254,0.00011709692,0.003708646,9.678674e-05,0.10995125,0.24475336,0.62809795,0.00010439788
A/RES/75/183,0.2303463,0.25329903,0.030972205,0.00012211368,0.0024847342,7.4299125e-05,0.17866233,0.00013575918,0.00015446957,0.07830956,0.00012078762,0.00048411227,0.00020137888,0.22463293
A/RES/60/160,0.68702126,0.19652967,0.00013728238,0.0001486789,0.0001847258,9.046221e-05,0.00042170056,0.017663231,0.00018806077,0.00013662012,0.00014706372,0.06174005,0.03019389,0.0053972723
A/RES/64/17,0.15044753,0.00039711568,0.0003867445,0.00041885377,0.00052039785,0.0002548458,0.0011883167,0.25126973,0.35014865,0.00038487895,0.0982057,0.14527138,0.0006907378,0.000415138
A/RES/2743(XXV),0.00019829808,0.00012429304,0.005959047,0.19927773,0.22225149,7.976397e-05,0.2927138,0.00014574546,0.034311038,0.00012046359,0.00012967194,0.2054275,0.0075589395,0.031702265
